full_name,disabled,has_projects,stargazers_count,subscribers_count,self_issue_count,pushed_at,pull_count,network_count,forks,watchers,open_issues,has_wiki,size,archived,fork,has_downloads,issue_count,language,created_at,mirror_url,has_pages,updated_at,id,description
microsoft/terminal,False,True,55217,1184,2,2019-12-07T02:16:42Z,30,5339,5339,55217,829,False,53288,False,False,True,797,C++,2017-08-11T18:38:22Z,,False,2019-12-07T06:34:41Z,100060912,"The new Windows Terminal, and the original Windows console host - all in the same place!"
gdamore/tcell,False,True,1802,54,4,2019-12-04T01:43:30Z,8,139,139,1802,40,True,1960,False,False,True,28,Go,2015-09-27T06:37:33Z,,False,2019-12-06T19:54:34Z,43237167,"Tcell is an alternate terminal package, similar in some ways to termbox, but better in others."
puppeteer/puppeteer,False,False,56549,1211,0,2019-12-04T13:12:35Z,23,5545,5545,56549,707,False,5770,False,False,True,684,JavaScript,2017-05-09T22:16:13Z,,False,2019-12-07T07:40:20Z,90796663,Headless Chrome Node.js API
socketio/socket.io,False,True,48204,1670,0,2019-11-19T07:44:16Z,18,8808,8808,48204,450,False,12300,False,False,True,432,JavaScript,2010-03-11T18:24:48Z,,True,2019-12-07T06:42:50Z,557980,Realtime application framework (Node.JS server)
moment/moment,False,True,42911,957,0,2019-12-04T20:19:01Z,30,6416,6416,42911,438,False,17858,False,False,True,408,JavaScript,2011-03-01T02:46:06Z,,False,2019-12-07T06:05:57Z,1424470,"Parse, validate, manipulate, and display dates in javascript."
nodeca/pako,False,True,2629,82,2,2019-11-05T04:30:38Z,1,474,474,2629,6,True,1456,False,False,True,3,JavaScript,2014-01-25T13:57:00Z,,True,2019-12-06T13:34:56Z,16231859,"high speed zlib port to javascript, works in browser & node.js"
zeit/next.js,False,False,43017,812,0,2019-12-07T06:44:04Z,24,5804,5804,43017,333,True,19700,False,False,True,309,JavaScript,2016-10-05T23:32:51Z,,False,2019-12-07T08:14:04Z,70107786,The React Framework
gorakhargosh/watchdog,False,True,3814,136,1,2019-12-03T13:28:02Z,7,476,476,3814,120,True,1518,False,False,True,112,Python,2010-10-23T12:00:17Z,,True,2019-12-07T05:45:05Z,1017451,Python library and shell utilities to monitor filesystem events.
axios/axios,False,True,67425,1154,0,2019-12-07T10:37:52Z,30,5830,5830,67425,596,False,3052,False,False,True,566,JavaScript,2014-08-18T22:30:27Z,,False,2019-12-07T19:44:32Z,23088740,Promise based HTTP client for the browser and node.js
SheetJS/sheetjs,False,False,18936,522,0,2019-11-27T09:50:09Z,17,4670,4670,18936,317,True,54376,False,False,True,300,JavaScript,2012-12-03T19:25:52Z,,True,2019-12-07T07:02:28Z,6988020,:green_book: SheetJS Community Edition -- Spreadsheet Data Toolkit
python/cpython,False,False,28148,1118,0,2019-12-07T21:29:30Z,30,12706,12706,28148,1012,False,327825,False,False,True,2814,Python,2017-02-10T19:23:51Z,,False,2019-12-07T19:15:34Z,81598961,The Python programming language
mholt/PapaParse,False,True,8116,162,0,2019-11-21T07:32:59Z,5,896,896,8116,97,False,14528,False,False,True,92,JavaScript,2013-10-07T20:33:21Z,,True,2019-12-07T17:25:10Z,13395052,Fast and powerful CSV (delimited text) parser that gracefully handles large files and malformed input
d3/d3,False,False,88937,4042,1,2019-11-20T15:34:24Z,0,21618,21618,88937,3,True,41490,False,False,True,2,JavaScript,2010-09-27T17:22:42Z,,False,2019-12-07T02:42:58Z,943149,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:"
